Business Name,Address,City,Zip,Instant Sales,Online Sales,Total
MASTRO'S THE 3 SPOT,13855 RIDGE RD,NORTH ROYALTON,44133,"$40,086.00","$203,936.50","$244,022.50"
SUN MART EXPRESS,7908 W 130TH ST,STRONGSVILLE,44136,"$145,887.00","$97,907.00","$243,794.00"
PARMA HTS SMOKE SHOP & BEVERAGE,6647 PEARL RD,PARMA HEIGHTS,44130,"$139,358.00","$104,325.50","$243,683.50"
C TOWN'S MORE 4 LESS,1001 W ROYALTON RD,BROADVIEW HEIGHTS,44147,"$164,837.00","$78,741.00","$243,578.00"
AMERICAN FOOD MARKET,8002 DETROIT AVE,CLEVELAND,44102,"$115,268.00","$128,293.00","$243,561.00"
7-ELEVEN FOOD STORE #55,16303 LIBBY RD,CLEVELAND,44137,"$74,516.00","$168,993.50","$243,509.50"
KING MARATHON,11500 ST CLAIR AVE,CLEVELAND,44108,"$38,396.00","$203,744.50","$242,140.50"
7-ELEVEN #19721,16303 LIBBY RD,CLEVELAND,44137,"$54,746.00","$187,075.00","$241,821.00"
STRONGSVILLE DELI STOP,20942 DRAKE RD,STRONGSVILLE,44149,"$134,668.00","$106,986.00","$241,654.00"
BIDDULPH BEVERAGE,6980 BIDDULPH RD,BROOKLYN,44144,"$104,800.00","$136,465.00","$241,265.00"
PARMATOWN MALL,7895 W RIDGEWOOD DR,PARMA,44129,"$187,909.00","$52,817.00","$240,726.00"
BEREA BEVERAGE,7 W GRAND ST,BEREA,44017,"$135,056.00","$105,650.00","$240,706.00"
CIRCLE CONVENIENCE,11313 EUCLID AVE,CLEVELAND,44106,"$81,168.00","$159,151.50","$240,319.50"
LOUS BUY WISE ,3250 SUPERIOR AVE,CLEVELAND,44114,"$61,373.00","$178,929.50","$240,302.50"
CONVENIENT FOOD MART,27340 W OVIATT RD,BAY VILLAGE,44140,"$132,545.00","$107,695.00","$240,240.00"
MADISON BI-RITE,12503 MADISON AVE,LAKEWOOD,44107,"$175,570.00","$64,645.00","$240,215.00"
TRICIA'S LITTLE BEVERAGE,5600 COLUMBIA RD,NORTH OLMSTED,44070,"$128,744.00","$111,126.00","$239,870.00"
MARC'S #04,26393 GREAT NORTHERN BLVD,NORTH OLMSTED,44070,"$149,745.00","$90,121.00","$239,866.00"
NEIGHBOR'S CHOICE,525 E 185TH ST,CLEVELAND,44119,"$91,207.00","$148,194.50","$239,401.50"
MARC'S #41,16224 PEARL RD,STRONGSVILLE,44136,"$141,687.00","$97,105.50","$238,792.50"
TRUE NORTH #311,5567 WILSON MILLS RD,RICHMOND HEIGHTS,44143,"$113,500.00","$124,253.50","$237,753.50"
SUNOCO FAMILY FOODS EXPRESS,3363 E 93RD ST,CLEVELAND,44104,"$63,403.00","$174,311.00","$237,714.00"
GUNSELMAN'S TAVERN,21490 LORAIN RD,FAIRVIEW PARK,44126,"$2,000.00","$235,279.00","$237,279.00"
MOLLY MCGHEES SPORTS PUB,13169 PROSPECT RD,STRONGSVILLE,44149,"$39,936.00","$196,058.00","$235,994.00"
GEORGE'S DELI,3001 E RIDGEWOOD DR,SEVEN HILLS,44131,"$161,250.00","$74,602.00","$235,852.00"
PEARL & BRADLEY SUNOCO,5385 PEARL RD,PARMA,44129,"$142,198.00","$93,318.00","$235,516.00"
CIRCLE K #5246,9080 PEARL RD,STRONGSVILLE,44136,"$155,450.00","$79,413.50","$234,863.50"
MAPLE SHELL,5300 WARRENSVILLE CENTER RD,MAPLE HEIGHTS,44137,"$101,278.00","$132,204.00","$233,482.00"
PIT STOP,4411 CLARK AVE,CLEVELAND,44109,"$109,700.00","$123,265.50","$232,965.50"
AMERICAN LEGION PARMA HTS POST #703,7667 YORK RD,PARMA,44130,$0.00,"$232,873.00","$232,873.00"
FREEWAY SUNOCO,15504 WATERLOO RD,CLEVELAND,44110,"$49,222.00","$183,143.00","$232,365.00"
EDDYS MINI MART,907 E 105 ST,CLEVELAND,44108,"$41,911.00","$190,305.00","$232,216.00"
FRIENDLY MINI MART,16708 DETROIT AVE,LAKEWOOD,44107,"$117,721.00","$114,263.00","$231,984.00"
SCOTT'S GROCERY,951 LINN DR,CLEVELAND,44108,"$39,979.00","$191,601.00","$231,580.00"
ONE STOP SUNOCO III,11209 STATE RD,NORTH ROYALTON,44133,"$162,120.00","$69,414.50","$231,534.50"
