
41.36706,-81.86707
41.45133,-81.39330
41.53421,-81.41550
41.41615,-81.92202
41.47601,-81.73880
41.52212,-81.64442
41.48047,-81.63099
41.44953,-81.63338
41.50670,-81.60535
41.48254,-81.80352
41.54536,-81.60805
41.44465,-81.69578
41.56515,-81.56503
41.45985,-81.79478
41.53825,-81.57310
41.48580,-81.69441
41.51766,-81.67519
41.48759,-81.67769
41.46999,-81.84886
41.56996,-81.52650
41.50439,-81.55413
41.58652,-81.54587
41.47368,-81.57650
41.52754,-81.53241
41.47952,-81.51190
41.60364,-81.52611
41.49679,-81.47174
41.39941,-81.63300
41.44105,-81.84830
41.47386,-81.64734
41.43773,-81.53575
41.38689,-81.73520
41.38453,-81.79471
41.39167,-81.64142
41.60823,-81.50097
41.31463,-81.74350
41.38583,-81.70990
41.42386,-81.81680
41.31316,-81.81109
41.40479,-81.55666
41.37885,-81.93068
41.38648,-81.44025
41.49097,-81.92146
41.30627,-81.61507
41.40252,-81.83385
41.55886,-81.47741
41.43860,-81.74119
41.44458,-81.93125
41.38921,-81.53654
41.31409,-81.67343
41.31290,-81.84944
41.49970,-81.69560

