Zip,Number_of_returns_Total_Individual,Amount_Total_Individual,Number_of_returns_Business,Amount_Business,,,,,,,,
43340,680,28512000,80,465000,,,,,,,,
43341,410,19461000,40,333000,,,,,,,,
43342,1680,87908000,220,1622000,,,,,,,,
43343,610,26113000,60,278000,,,,,,,,
43344,2630,129799000,360,3037000,,,,,,,,
43345,410,21545000,50,288000,,,,,,,,
43347,680,32259000,100,1133000,,,,,,,,
43348,950,39269000,120,810000,,,,,,,,
43351,5100,239108000,640,8584000,,,,,,,,
43356,560,37238000,90,879000,,,,,,,,
43357,2310,125066000,350,3058000,,,,,,,,
43358,1200,58963000,160,1317000,,,,,,,,
43359,370,16093000,40,147000,,,,,,,,
43360,870,47610000,130,842000,,,,,,,,
43402,13600,720507000,1770,20647000,,,,,,,,
43406,800,32424000,70,224000,,,,,,,,
43407,300,15176000,40,288000,,,,,,,,
43410,5140,219301000,440,3575000,,,,,,,,
43412,2190,129293000,270,4605000,,,,,,,,
43413,710,32696000,90,455000,,,,,,,,
43416,1400,80281000,170,2479000,,,,,,,,
43420,15140,672337000,1610,19043000,,,,,,,,
43430,2400,119196000,250,1842000,,,,,,,,
43431,2250,105723000,260,2030000,,,,,,,,
43432,750,41972000,80,153000,,,,,,,,
43435,750,33671000,100,625000,,,,,,,,
43440,2500,135958000,390,3615000,,,,,,,,
43442,500,24676000,60,236000,,,,,,,,
43443,900,46508000,120,1123000,,,,,,,,
43445,620,34327000,70,675000,,,,,,,,
43447,1830,95603000,210,2043000,,,,,,,,
43449,4200,212949000,510,4657000,,,,,,,,
43450,1820,101228000,250,2419000,,,,,,,,
43451,590,27785000,80,571000,,,,,,,,
43452,7280,383236000,1080,14855000,,,,,,,,
43457,740,31337000,90,339000,,,,,,,,
43460,3280,170497000,300,4478000,,,,,,,,
43462,530,24780000,80,574000,,,,,,,,
43464,710,29168000,80,550000,,,,,,,,
43465,2790,120809000,270,2118000,,,,,,,,
43466,990,49477000,130,809000,,,,,,,,
43469,1610,91439000,210,2867000,,,,,,,,
43501,350,13359000,60,498000,,,,,,,,
43502,3530,191425000,570,7730000,,,,,,,,
43504,550,34819000,90,594000,,,,,,,,
43506,7530,351544000,860,9172000,,,,,,,,
43511,410,21521000,70,265000,,,,,,,,
43512,13880,662515000,1490,18229000,,,,,,,,
43515,3820,185205000,530,5377000,,,,,,,,
43516,1400,65990000,170,1495000,,,,,,,,
43517,1770,77507000,240,1951000,,,,,,,,
43518,1240,55038000,170,1122000,,,,,,,,
43521,1280,55080000,170,1062000,,,,,,,,
43522,1660,93131000,230,2368000,,,,,,,,
43524,650,32330000,80,219000,,,,,,,,
43525,500,29842000,50,181000,,,,,,,,
43526,2810,123964000,420,3476000,,,,,,,,
43527,1090,52212000,100,1133000,,,,,,,,
43528,8070,572282000,1190,22818000,,,,,,,,
43532,1860,91364000,240,1493000,,,,,,,,
43533,720,37904000,130,1403000,,,,,,,,
43534,800,35642000,90,814000,,,,,,,,
43535,400,18696000,40,33000,,,,,,,,
43536,170,8024000,0,0,,,,,,,,
43537,14570,1021558000,1930,35735000,,,,,,,,
43540,670,36494000,80,628000,,,,,,,,
43542,1840,162792000,310,6601000,,,,,,,,
43543,3610,145848000,440,4028000,,,,,,,,
43545,7080,369366000,870,12321000,,,,,,,,
43548,360,18150000,40,66000,,,,,,,,
43549,670,30933000,70,611000,,,,,,,,
43551,19400,1485959000,2680,54127000,,,,,,,,
43554,1210,51911000,150,1351000,,,,,,,,
43556,860,37255000,110,675000,,,,,,,,
43557,1360,59650000,160,911000,,,,,,,,
43558,6740,360234000,870,10105000,,,,,,,,
43560,15980,1368079000,2530,58521000,,,,,,,,
43566,3830,267355000,540,9252000,,,,,,,,
43567,6280,311061000,890,9484000,,,,,,,,
43569,1320,57738000,180,1090000,,,,,,,,
43570,1550,66509000,200,1611000,,,,,,,,
43571,3520,255725000,540,10223000,,,,,,,,
43604,2960,80805000,380,3938000,,,,,,,,
43605,10120,262966000,880,7072000,,,,,,,,
43606,10760,582115000,1500,25834000,,,,,,,,
43607,8650,244732000,900,5540000,,,,,,,,
43608,5310,131823000,560,4043000,,,,,,,,
43609,8530,229334000,780,7208000,,,,,,,,
43610,1990,53544000,260,2007000,,,,,,,,
43611,8920,369046000,900,7576000,,,,,,,,
43612,13550,458681000,1230,9613000,,,,,,,,
43613,15550,615762000,1610,12824000,,,,,,,,
43614,15120,695690000,1630,16958000,,,,,,,,
43615,18780,932457000,2200,27692000,,,,,,,,
43616,10300,541132000,990,11388000,,,,,,,,
43617,3700,317227000,660,15819000,,,,,,,,
43619,3700,186874000,370,3115000,,,,,,,,
43620,1950,62477000,270,1849000,,,,,,,,
43623,10240,611983000,1260,23345000,,,,,,,,
43701,24680,1058474000,3040,32132000,,,,,,,,
43713,3300,178020000,450,3691000,,,,,,,,
43716,840,87045000,100,141000,,,,,,,,
43718,1490,139193000,220,3531000,,,,,,,,
43719,1070,79216000,150,1046000,,,,,,,,
43720,580,23408000,100,716000,,,,,,,,
43723,2330,90406000,220,2052000,,,,,,,,
43724,2880,147485000,420,4401000,,,,,,,,
43725,9130,418943000,1150,13971000,,,,,,,,
43727,670,29969000,110,725000,,,,,,,,
43728,470,16655000,70,323000,,,,,,,,
43730,940,36686000,120,1146000,,,,,,,,
43731,2180,80049000,220,1282000,,,,,,,,
43732,770,32448000,100,586000,,,,,,,,
43734,590,27691000,80,409000,,,,,,,,
43739,950,46614000,170,1699000,,,,,,,,
43746,610,28872000,80,824000,,,,,,,,
43747,450,35442000,80,132000,,,,,,,,
