 Business_Name ,Address,City,Zip,Instant_Sales,Online_Sales,Total,total income,avg income
I 71 RT 82 STRONGSVILLE MARATHON,16717 ROYALTON RD,STRONGSVILLE,44136,175786,153353,329139,,
GO MART,23031 EMERY RD,WARRENSVILLE HEIGHTS,44128,94606,234512,329118,,
ONE STOP SUNOCO #6,13946 STATE RD,NORTH ROYALTON,44133,203106,123139.5,326245.5,,
MACKS BEVERAGE,5358 RIDGE RD,PARMA,44129,183362,140925,324287,,
STATE ROAD BEVERAGE,4810 STATE RD,CLEVELAND,44109,216442,107827,324269,,
GIANT EAGLE #204,6000 ROYALTON RD,NORTH ROYALTON,44133,210630,113382.5,324012.5,,
GIANT EAGLE #1216,30275 DETROIT RD,WESTLAKE,44145,182840,141010,323850,,
DAIRY DELI,6219 W 130TH ST,PARMA HEIGHTS,44130,191736,132077.5,323813.5,,
C & S BEVERAGE & DELI,15649 PURITAS AVE,CLEVELAND,44135,201704,119904.5,321608.5,,
GIANT EAGLE #178,17887 SOUTHPARK CTR,STRONGSVILLE,44136,202900,117185.5,320085.5,,
EUCLID & NOBLE MINI MART,16049 EUCLID AVE,EAST CLEVELAND,44112,91437,228383.5,319820.5,,
JULIEN SHELL,11701 CLIFTON BLVD,LAKEWOOD,44107,145276,173658,318934,,
BOBS NEWSSTAND,1979 W 25TH ST A2,CLEVELAND,44113,202084,115881.5,317965.5,,
GIANT EAGLE #2108,50 W BRIDGE ST,BEREA,44017,186430,131354.5,317784.5,,
MAPLE 1 STOP,6120 DUNHAM RD,MAPLE HEIGHTS,44137,183526,133513,317039,,
PIER BEVERAGE & DELI,22474 LAKE RD,ROCKY RIVER,44116,133118,183125,316243,,
ROYAL DELI,10011 W 130TH ST,NORTH ROYALTON,44133,160550,152986,313536,,
GAS USA MINI MART,16601 EUCLID AVE,EAST CLEVELAND,44112,74358,239111.5,313469.5,,
SAM'S DELI,1241 HAYDEN AVE,EAST CLEVELAND,44112,98580,213658.5,312238.5,,
JOHNS DELI,277 NORTHFIELD RD,BEDFORD,44146,166891,144739.5,311630.5,,
GAS USA,12307 ST CLAIR AVE,CLEVELAND,44108,71127,239845,310972,,
ONE STOP SUNOCO 1,6225 STORER AVE,CLEVELAND,44102,212300,97422,309722,,
GIANT EAGLE #1263,15325 EDGECLIFF AVE,CLEVELAND,44111,205299,103797,309096,,
ABELL FOODS & DELI,3258 E 140TH ST,CLEVELAND,44120,85478,223560.5,309038.5,,
CONVENIENT FOOD MART #032,5270 E 98TH ST,GARFIELD HEIGHTS,44125,154130,154822,308952,,
GIANT EAGLE #201,34310 AURORA RD,SOLON,44139,169117,139778.5,308895.5,,
A & M FOOD MART,25600 AURORA RD,CLEVELAND,44146,86739,219759.5,306498.5,,
SHAKER IMPORTS,16722 CHAGRIN BLVD,CLEVELAND,44120,99995,206233,306228,,
THE THIRD PLACE ,3314 WARREN RD,CLEVELAND,44111,16639,287629,304268,,
CONVENIENT FOOD MART,29233 CENTER RIDGE RD,WESTLAKE,44145,213813,90054,303867,,
MARCS #68,17400 LORAIN RD,CLEVELAND,44111,202153,99576.5,301729.5,,
GIANT EAGLE #5810,21593 LORAIN RD,FAIRVIEW PARK,44126,199282,102304,301586,,
CONVENIENT FOOD MART,18121 EUCLID AVE,CLEVELAND,44112,81879,219449.5,301328.5,,
KONNI'S SUPERMARKET,13598 EUCLID AVE,EAST CLEVELAND,44112,93751,207097.5,300848.5,,
TAYEH VALERO,1930 E 79TH ST,CLEVELAND,44103,73378,225791,299169,,
